"Interrogation Site Code","Interrogation Site Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Data Steward Name","Steward Email","Steward Phone","Steward Organization","New Metric"
"158","Fifteenmile Ck at Eightmile Ck","11/29/2011","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","11/29/2011","","45.606425","-121.086280","309.004","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"15D","Fifteenmile Ck at Dry Ck","3/15/2012","6/30/2019","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","3/15/2012","6/30/2019","45.506158","-121.046218","309.038","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"15R","Fifteenmile Ck at Ramsey Ck","5/10/2011","4/4/2018","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","5/10/2011","4/4/2018","45.433719","-121.217211","309.056","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"18M","Eighteenmile Creek","5/1/2014","","1","Instream Remote Detection System","17060204","Lemhi","5/1/2014","","44.682795","-113.353660","522.303.416.092.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"18N","1890s Channel Methow River","11/2/2015","12/9/2019","0","Instream Remote Detection System","17020008","Methow","11/2/2015","12/9/2019","48.373079","-120.122640","843.067.000","Matt Abrahamse","abrm@yakamafish-nsn.gov","509-996-3122","YINN","1"
"1BC","Upper Big Creek, Yakima Basin","5/14/2019","","1","Instream Remote Detection System","17030001","Upper Yakima","5/14/2019","","47.200828","-121.115768","539.315.002","Jason Romine","Jason_romine@fws.gov","","USFWS","1"
"1LC","Upper Little Creek, Yakima","5/15/2019","","1","Instream Remote Detection System","17030001","Upper Yakima","5/15/2019","","47.193131","-121.096759","539.313.002","Jason Romine","Jason_romine@fws.gov","","USFWS","1"
"2BC","Lower Big Creek, Yakima Basin","5/14/2019","","1","Instream Remote Detection System","17030001","Upper Yakima","5/14/2019","","47.212940","-121.103203","539.315.001","Jason Romine","Jason_romine@fws.gov","","USFWS","1"
"2LC","Lower Little Creek, Yakima","5/15/2019","","1","Instream Remote Detection System","17030001","Upper Yakima","5/15/2019","","47.204615","-121.080405","539.313.000","Jason Romine","Jason_romine@fws.gov","","USFWS","1"
"30M","Thirtymile Crk John Day Basin","4/1/2016","","1","Instream Remote Detection System","17070204","Lower John Day","4/1/2016","","45.162073","-120.465021","351.134.001","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"3D1","Top of 3D Side Channel","3/27/2013","3/7/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","3/7/2017","47.892100","-120.450200","778.043","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"3D2","Middle-1 of 3D Side Channel","3/27/2013","1/3/2017","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/27/2013","1/3/2017","47.891860","-120.448000","778.043","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
