"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",636982,103093,298945,102293,315665,57600,3460,2045668,24102,0
"Ice Harbor",112537,24530,78689,20666,958,814,133,145569,391,0
"John Day",326746,69750,156279,53297,260620,14933,2067,0,5561,0
"Little Goose",102102,24560,52187,15924,1056,309,88,0,82,0
"Lower Granite",95397,26006,48070,15626,1111,113,24,16968,48,0
"Lower Monumental",109778,25716,71777,21057,1119,426,90,0,138,0
"McNary",277589,49121,119780,39159,226485,7355,1128,745984,1422,0
"Priest Rapids",98161,9023,14578,0,266894,1423,217,6374,4629,0
"Prosser",8883,2075,1635,1528,745,115,24,0,7,0
"Roza",5412,1620,294,247,740,8,0,0,0,0
"Rock Island",80871,10974,12271,5301,259180,575,110,0,1351,59
"Rocky Reach",58181,6912,8931,3641,218265,62,20,0,1264,124
"The Dalles",410338,80654,194174,66931,269251,21757,2549,828067,6891,0
"Tumwater",6951,1337,792,0,39881,7,0,0,0,0
"Wanapum",74059,6593,12099,0,212317,589,109,316,2667,0
"Wells",46268,6170,6216,2631,207547,12,0,0,0,68
"Willamette Falls",35354,1729,22554,0,0,1548,607,0,0,0
