"Project","Year","Species","Counts","5yrGeomean","10yrGeomean"
"Zosel",2006,"Chinook",496,NA,NA
"Zosel",2006,"Steelhead",322,NA,NA
"Zosel",2006,"Wild.Steelhead",175,NA,NA
"Zosel",2006,"Sockeye",19397,NA,NA
"Zosel",2007,"Chinook",454,NA,NA
"Zosel",2007,"Steelhead",218,NA,NA
"Zosel",2007,"Wild.Steelhead",46,NA,NA
"Zosel",2007,"Sockeye",17708,NA,NA
"Zosel",2008,"Chinook",328,NA,NA
"Zosel",2008,"Steelhead",173,NA,NA
"Zosel",2008,"Wild.Steelhead",50,NA,NA
"Zosel",2008,"Sockeye",77533,NA,NA
"Zosel",2009,"Chinook",128,312,NA
"Zosel",2009,"Steelhead",444,271,NA
"Zosel",2009,"Wild.Steelhead",69,73,NA
"Zosel",2009,"Sockeye",60970,35697,NA
"Zosel",2010,"Chinook",245,297,NA
"Zosel",2010,"Steelhead",450,300,NA
"Zosel",2010,"Wild.Steelhead",127,81,NA
"Zosel",2010,"Sockeye",208303,50797,NA
"Zosel",2011,"Chinook",917,336,NA
"Zosel",2011,"Jack.Chinook",492,NA,NA
"Zosel",2011,"Steelhead",282,292,NA
"Zosel",2011,"Wild.Steelhead",72,68,NA
"Zosel",2011,"Sockeye",2005,32264,NA
"Zosel",2012,"Chinook",616,357,NA
"Zosel",2012,"Jack.Chinook",210,NA,NA
"Zosel",2012,"Steelhead",209,290,NA
"Zosel",2012,"Wild.Steelhead",49,69,NA
"Zosel",2012,"Sockeye",17219,32084,NA
"Zosel",2012,"Coho",16,NA,NA
"Zosel",2013,"Chinook",2025,514,476
"Zosel",2013,"Jack.Chinook",255,NA,NA
"Zosel",2013,"Steelhead",230,307,275
"Zosel",2013,"Wild.Steelhead",76,75,74
"Zosel",2013,"Sockeye",16670,23592,25773
"Zosel",2013,"Coho",1,NA,NA
"Zosel",2014,"Chinook",1614,853,545
"Zosel",2014,"Jack.Chinook",362,313,NA
"Zosel",2014,"Steelhead",21,167,207
"Zosel",2014,"Wild.Steelhead",15,55,62
"Zosel",2014,"Sockeye",325277,32976,34159
"Zosel",2014,"Coho",80,NA,NA
"Zosel",2015,"Chinook",1185,1169,589
"Zosel",2015,"Jack.Chinook",22,184,NA
"Zosel",2015,"Steelhead",267,150,212
"Zosel",2015,"Wild.Steelhead",183,59,69
"Zosel",2015,"Sockeye",37624,23418,34490
"Zosel",2015,"Coho",8,10,NA
"Zosel",2016,"Chinook",1644,1314,665
"Zosel",2016,"Jack.Chinook",179,150,NA
"Zosel",2016,"Steelhead",8,74,147
"Zosel",2016,"Wild.Steelhead",6,36,50
"Zosel",2016,"Sockeye",179868,57560,43094
"Zosel",2017,"Chinook",585,1301,682
"Zosel",2017,"Jack.Chinook",155,141,NA
"Zosel",2017,"Sockeye",6692,47647,39098
"Zosel",2017,"Coho",3,7,NA
"Wells",1977,"Chinook",10188,NA,NA
"Wells",1977,"Jack.Chinook",4810,NA,NA
"Wells",1977,"Steelhead",5384,NA,NA
"Wells",1977,"Sockeye",21973,NA,NA
"Wells",1977,"Coho",68,NA,NA
"Wells",1978,"Chinook",9499,NA,NA
"Wells",1978,"Jack.Chinook",1873,NA,NA
"Wells",1978,"Steelhead",1523,NA,NA
"Wells",1978,"Sockeye",7644,NA,NA
"Wells",1978,"Coho",77,NA,NA
"Wells",1979,"Chinook",9637,NA,NA
"Wells",1979,"Jack.Chinook",3542,NA,NA
"Wells",1979,"Steelhead",3597,NA,NA
"Wells",1979,"Sockeye",26655,NA,NA
"Wells",1979,"Coho",62,NA,NA
"Wells",1980,"Chinook",5320,8393,NA
"Wells",1980,"Jack.Chinook",1463,2614,NA
"Wells",1980,"Steelhead",3443,3174,NA
"Wells",1980,"Sockeye",26573,18572,NA
"Wells",1980,"Coho",82,72,NA
"Wells",1981,"Chinook",5407,7686,NA
"Wells",1981,"Jack.Chinook",1490,2336,NA
"Wells",1981,"Steelhead",4096,3340,NA
"Wells",1981,"Sockeye",28234,20195,NA
"Wells",1981,"Coho",26,59,NA
"Wells",1982,"Chinook",5428,6777,NA
"Wells",1982,"Jack.Chinook",2386,2030,NA
"Wells",1982,"Steelhead",7984,3614,NA
"Wells",1982,"Sockeye",19005,19617,NA
"Wells",1982,"Coho",356,82,NA
"Wells",1982,"Jack.Coho",1,NA,NA
"Wells",1983,"Chinook",5329,6037,NA
"Wells",1983,"Jack.Chinook",1511,1945,NA
"Wells",1983,"Steelhead",19525,6020,NA
"Wells",1983,"Sockeye",27925,25420,NA
"Wells",1983,"Coho",82,83,NA
"Wells",1984,"Chinook",8649,5908,7134
"Wells",1984,"Jack.Chinook",2384,1797,2224
"Wells",1984,"Steelhead",16627,8177,5677
"Wells",1984,"Sockeye",81054,31752,24830
"Wells",1984,"Coho",97,90,82
"Wells",1984,"Jack.Coho",7,NA,NA
"Wells",1985,"Chinook",10217,6731,7425
"Wells",1985,"Jack.Chinook",1667,1844,2154
"Wells",1985,"Steelhead",19757,11597,6520
"Wells",1985,"Sockeye",52989,36452,27012
"Wells",1985,"Coho",89,92,82
"Wells",1985,"Jack.Coho",1,NA,NA
"Wells",1986,"Chinook",7429,7173,7425
"Wells",1986,"Jack.Chinook",967,1692,1988
"Wells",1986,"Steelhead",13234,14662,6999
"Wells",1986,"Sockeye",34788,38006,27704
"Wells",1986,"Coho",92,118,83
"Wells",1987,"Chinook",7883,7729,7237
"Wells",1987,"Jack.Chinook",861,1380,1674
"Wells",1987,"Steelhead",5427,13573,7004
"Wells",1987,"Sockeye",40120,44132,29423
"Wells",1987,"Coho",42,77,79
"Wells",1988,"Chinook",6905,8140,7010
"Wells",1988,"Jack.Chinook",942,1255,1563
"Wells",1988,"Steelhead",4415,10082,7791
"Wells",1988,"Sockeye",33978,45898,34157
"Wells",1988,"Coho",78,76,79
"Wells",1989,"Chinook",6084,7587,6695
"Wells",1989,"Jack.Chinook",436,894,1267
"Wells",1989,"Steelhead",4608,7800,7986
"Wells",1989,"Sockeye",15976,33169,32453
"Wells",1989,"Coho",15,53,69
"Wells",1990,"Chinook",4765,6513,6622
"Wells",1990,"Jack.Chinook",375,663,1106
"Wells",1990,"Steelhead",3819,5615,8069
"Wells",1990,"Sockeye",7609,22499,28638
"Wells",1990,"Coho",37,44,64
"Wells",1991,"Chinook",3037,5446,6250
"Wells",1991,"Jack.Chinook",642,611,1017
"Wells",1991,"Steelhead",7733,5043,8599
"Wells",1991,"Sockeye",27490,21464,28561
"Wells",1991,"Coho",16,31,61
"Wells",1992,"Chinook",3655,4670,6008
"Wells",1992,"Jack.Chinook",1409,674,964
"Wells",1992,"Steelhead",7073,5317,8495
"Wells",1992,"Sockeye",41951,21656,30915
"Wells",1992,"Coho",28,29,47
"Wells",1993,"Chinook",7066,4692,6180
"Wells",1993,"Jack.Chinook",355,555,834
"Wells",1993,"Steelhead",2400,4707,6889
"Wells",1993,"Sockeye",27849,20812,30906
"Wells",1993,"Coho",7,18,37
"Wells",1994,"Chinook",7318,4868,6078
"Wells",1994,"Jack.Chinook",941,647,760
"Wells",1994,"Steelhead",2183,4054,5623
"Wells",1994,"Sockeye",1666,13242,20957
"Wells",1994,"Coho",3,13,26
"Wells",1995,"Chinook",3840,4663,5511
"Wells",1995,"Jack.Chinook",505,687,675
"Wells",1995,"Steelhead",945,3066,4149
"Wells",1995,"Sockeye",4892,12122,16515
"Wells",1996,"Chinook",3267,4731,5076
"Wells",1996,"Jack.Chinook",427,633,622
"Wells",1996,"Steelhead",4127,2704,3693
"Wells",1996,"Sockeye",17701,11100,15436
"Wells",1996,"Coho",1,5,14
"Wells",1997,"Chinook",3978,4812,4741
"Wells",1997,"Jack.Chinook",319,470,563
"Wells",1997,"Steelhead",4101,2425,3591
"Wells",1997,"Sockeye",24621,9978,14700
"Wells",1997,"Coho",13,4,12
"Wells",1997,"Jack.Coho",6,NA,NA
"Wells",1998,"Chinook",4431,4383,4535
"Wells",1998,"Jack.Chinook",896,566,560
"Wells",1998,"Steelhead",2744,2490,3424
"Wells",1998,"Wild.Steelhead",355,NA,NA
"Wells",1998,"Sockeye",4666,6980,12053
"Wells",1998,"Coho",1,2,7
"Wells",1998,"Lamprey",343,NA,NA
"Wells",1999,"Chinook",9414,4610,4737
"Wells",1999,"Jack.Chinook",1268,601,623
"Wells",1999,"Steelhead",3551,2745,3336
"Wells",1999,"Wild.Steelhead",581,NA,NA
"Wells",1999,"Sockeye",12388,10427,11750
"Wells",1999,"Coho",201,7,10
"Wells",1999,"Jack.Coho",22,NA,NA
"Wells",1999,"Lamprey",73,NA,NA
"Wells",2000,"Chinook",10684,5657,5136
"Wells",2000,"Jack.Chinook",5353,963,813
"Wells",2000,"Steelhead",6251,4005,3504
"Wells",2000,"Wild.Steelhead",1780,NA,NA
"Wells",2000,"Sockeye",59944,17211,14444
"Wells",2000,"Lamprey",155,NA,NA
"Wells",2001,"Chinook",48730,9712,6779
"Wells",2001,"Jack.Chinook",8262,1742,1050
"Wells",2001,"Steelhead",17508,5348,3803
"Wells",2001,"Wild.Steelhead",7889,1305,NA
"Wells",2001,"Sockeye",74486,22941,15958
"Wells",2001,"Coho",604,35,13
"Wells",2001,"Jack.Coho",5,NA,NA
"Wells",2001,"Lamprey",262,179,NA
"Wells",2002,"Chinook",76291,17533,9185
"Wells",2002,"Jack.Chinook",646,2006,971
"Wells",2002,"Steelhead",9307,6300,3908
"Wells",2002,"Wild.Steelhead",5738,1754,NA
"Wells",2002,"Sockeye",10659,19404,13915
"Wells",2002,"Coho",140,64,16
"Wells",2002,"Lamprey",342,203,NA
"Wells",2003,"Chinook",55479,29066,11287
"Wells",2003,"Jack.Chinook",2854,2529,1196
"Wells",2003,"Steelhead",9095,8006,4465
"Wells",2003,"Wild.Steelhead",5382,3022,NA
"Wells",2003,"Sockeye",29374,28035,13989
"Wells",2003,"Coho",107,207,23
"Wells",2003,"Jack.Coho",11,NA,NA
"Wells",2003,"Lamprey",1410,270,NA
"Wells",2004,"Chinook",41335,39074,13421
"Wells",2004,"Jack.Chinook",2083,2793,1295
"Wells",2004,"Steelhead",9350,9717,5165
"Wells",2004,"Wild.Steelhead",5627,4759,NA
"Wells",2004,"Sockeye",78053,40511,20552
"Wells",2004,"Coho",291,227,40
"Wells",2004,"Lamprey",403,380,NA
"Wells",2005,"Chinook",38972,50617,16921
"Wells",2005,"Jack.Chinook",1248,2087,1418
"Wells",2005,"Steelhead",7203,9996,6328
"Wells",2005,"Wild.Steelhead",2760,5195,2471
"Wells",2005,"Sockeye",55559,39901,26205
"Wells",2005,"Coho",348,247,51
"Wells",2005,"Lamprey",214,405,284
"Wells",2006,"Chinook",33170,46869,21335
"Wells",2006,"Jack.Chinook",3445,1752,1747
"Wells",2006,"Steelhead",6674,8243,6639
"Wells",2006,"Wild.Steelhead",2573,4152,2482
"Wells",2006,"Sockeye",22075,31286,26790
"Wells",2006,"Coho",409,228,100
"Wells",2006,"Lamprey",21,244,213
"Wells",2007,"Chinook",16918,34678,24658
"Wells",2007,"Jack.Chinook",5362,2675,2316
"Wells",2007,"Steelhead",7500,7894,7052
"Wells",2007,"Wild.Steelhead",3410,3742,2562
"Wells",2007,"Sockeye",22273,36254,26523
"Wells",2007,"Coho",2432,404,178
"Wells",2007,"Lamprey",35,155,178
"Wells",2008,"Chinook",27731,30187,29621
"Wells",2008,"Jack.Chinook",4261,2899,2707
"Wells",2008,"Steelhead",9808,8014,8010
"Wells",2008,"Wild.Steelhead",3803,3491,3248
"Wells",2008,"Sockeye",165334,51220,37894
"Wells",2008,"Coho",1191,654,392
"Wells",2008,"Jack.Coho",5,NA,NA
"Wells",2008,"Lamprey",7,54,120
"Wells",2009,"Chinook",36225,29401,33894
"Wells",2009,"Jack.Chinook",7769,3772,3245
"Wells",2009,"Steelhead",25260,9777,9747
"Wells",2009,"Wild.Steelhead",8868,3823,4265
"Wells",2009,"Sockeye",134937,57146,48115
"Wells",2009,"Coho",2945,1040,528
"Wells",2009,"Jack.Coho",28,NA,NA
"Wells",2009,"Lamprey",9,25,98
"Wells",2010,"Chinook",37771,29218,38456
"Wells",2010,"Jack.Chinook",3639,4672,3123
"Wells",2010,"Steelhead",12763,10962,10468
"Wells",2010,"Wild.Steelhead",5415,4375,4767
"Wells",2010,"Sockeye",291764,79623,56365
"Wells",2010,"Coho",1217,1335,574
"Wells",2010,"Jack.Coho",10,NA,NA
"Wells",2010,"Lamprey",2,10,63
"Wells",2011,"Chinook",36863,29841,37398
"Wells",2011,"Jack.Chinook",14882,6260,3312
"Wells",2011,"Steelhead",12069,12341,10086
"Wells",2011,"Wild.Steelhead",4706,4936,4527
"Wells",2011,"Sockeye",111508,110083,58686
"Wells",2011,"Coho",5784,2268,720
"Wells",2011,"Jack.Coho",12,11,NA
"Wells",2011,"Lamprey",1,5,36
"Wells",2012,"Chinook",47458,36678,35664
"Wells",2012,"Jack.Chinook",5388,6266,4094
"Wells",2012,"Steelhead",9778,13013,10136
"Wells",2012,"Wild.Steelhead",4248,5158,4393
"Wells",2012,"Sockeye",326107,188295,82622
"Wells",2012,"Coho",2035,2189,941
"Wells",2012,"Jack.Coho",7,10,NA
"Wells",2012,"Lamprey",3,3,23
"Wells",2013,"Chinook",73938,44626,36703
"Wells",2013,"Jack.Chinook",8824,7248,4584
"Wells",2013,"Steelhead",7222,12240,9904
"Wells",2013,"Wild.Steelhead",3421,5050,4198
"Wells",2013,"Sockeye",129993,179453,95872
"Wells",2013,"Coho",564,1885,1111
"Wells",2013,"Jack.Coho",9,12,NA
"Wells",2013,"Lamprey",21,4,15
"Wells",2014,"Chinook",72452,51262,38822
"Wells",2014,"Jack.Chinook",11054,7778,5416
"Wells",2014,"Steelhead",7735,9660,9718
"Wells",2014,"Wild.Steelhead",3809,4265,4038
"Wells",2014,"Sockeye",490804,232330,115225
"Wells",2014,"Coho",9073,2361,1567
"Wells",2014,"Jack.Coho",76,14,NA
"Wells",2014,"Lamprey",7,4,10
"Wells",2015,"Chinook",97626,61984,42556
"Wells",2015,"Jack.Chinook",5732,8518,6308
"Wells",2015,"Steelhead",9143,9037,9953
"Wells",2015,"Wild.Steelhead",3552,3920,4141
"Wells",2015,"Sockeye",187055,212565,130097
"Wells",2015,"Coho",1125,2324,1762
"Wells",2015,"Jack.Coho",48,19,16
"Wells",2016,"Chinook",61793,68730,45288
"Wells",2016,"Jack.Chinook",4029,6559,6408
"Wells",2016,"Steelhead",4844,7529,9639
"Wells",2016,"Wild.Steelhead",1709,3201,3975
"Wells",2016,"Sockeye",216036,242626,163429
"Wells",2016,"Coho",392,1356,1754
"Wells",2016,"Jack.Coho",31,23,17
"Wells",2016,"Lamprey",7,7,6
"Wells",2017,"Chinook",40987,66744,49478
"Wells",2017,"Jack.Chinook",2471,5612,5930
"Wells",2017,"Steelhead",3755,6217,8995
"Wells",2017,"Wild.Steelhead",1689,2662,3705
"Wells",2017,"Sockeye",42299,161262,174255
"Wells",2017,"Coho",3790,1536,1834
"Wells",2017,"Jack.Coho",57,36,19
"Wells",2017,"Lamprey",287,23,8
"Wells",2018,"Chinook",32357,56576,50247
"Wells",2018,"Jack.Chinook",2484,4355,5618
"Wells",2018,"Steelhead",3914,5500,8205
"Wells",2018,"Wild.Steelhead",1588,2283,3395
"Wells",2018,"Sockeye",153637,166742,172981
"Wells",2018,"Coho",2812,2118,1998
"Wells",2018,"Jack.Coho",134,61,27
"Wells",2018,"Lamprey",175,40,11
"Wells",2019,"Chinook",35360,49015,50126
"Wells",2019,"Jack.Chinook",2891,3331,5090
"Wells",2019,"Steelhead",2828,4498,6592
"Wells",2019,"Wild.Steelhead",1695,1942,2878
"Wells",2019,"Sockeye",49862,105540,156589
"Wells",2019,"Coho",3957,1794,2058
"Wells",2019,"Jack.Coho",131,68,31
"Wells",2019,"Lamprey",14,47,12
"Wells",2020,"Chinook",61890,44744,52663
"Wells",2020,"Jack.Chinook",2980,2922,4989
"Wells",2020,"Steelhead",4390,3884,5924
"Wells",2020,"Wild.Steelhead",1643,1664,2554
"Wells",2020,"Sockeye",226107,109619,152648
"Wells",2020,"Coho",11360,2849,2573
"Wells",2020,"Jack.Coho",1012,126,49
"Wells",2020,"Lamprey",20,40,15
"Rocky Reach",1977,"Chinook",17516,NA,NA
"Rocky Reach",1977,"Jack.Chinook",8389,NA,NA
"Rocky Reach",1977,"Steelhead",7416,NA,NA
"Rocky Reach",1977,"Sockeye",25648,NA,NA
"Rocky Reach",1977,"Coho",927,NA,NA
"Rocky Reach",1978,"Chinook",16298,NA,NA
"Rocky Reach",1978,"Jack.Chinook",3247,NA,NA
"Rocky Reach",1978,"Steelhead",2353,NA,NA
"Rocky Reach",1978,"Sockeye",8349,NA,NA
"Rocky Reach",1978,"Coho",1438,NA,NA
"Rocky Reach",1979,"Chinook",11315,NA,NA
"Rocky Reach",1979,"Jack.Chinook",3576,NA,NA
"Rocky Reach",1979,"Steelhead",4804,NA,NA
"Rocky Reach",1979,"Sockeye",28945,NA,NA
"Rocky Reach",1979,"Coho",244,NA,NA
"Rocky Reach",1980,"Chinook",8024,12688,NA
"Rocky Reach",1980,"Jack.Chinook",2127,3794,NA
"Rocky Reach",1980,"Steelhead",4295,4356,NA
"Rocky Reach",1980,"Sockeye",29906,20749,NA
"Rocky Reach",1980,"Coho",713,694,NA
"Rocky Reach",1981,"Chinook",8820,11798,NA
"Rocky Reach",1981,"Jack.Chinook",1449,3130,NA
"Rocky Reach",1981,"Steelhead",5524,4568,NA
"Rocky Reach",1981,"Sockeye",30649,22433,NA
"Rocky Reach",1981,"Coho",522,656,NA
"Rocky Reach",1982,"Chinook",6315,9621,NA
"Rocky Reach",1982,"Jack.Chinook",2881,2527,NA
"Rocky Reach",1982,"Steelhead",6241,4413,NA
"Rocky Reach",1982,"Sockeye",17379,20753,NA
"Rocky Reach",1982,"Coho",938,657,NA
"Rocky Reach",1983,"Chinook",7275,8187,NA
"Rocky Reach",1983,"Jack.Chinook",1744,2232,NA
"Rocky Reach",1983,"Steelhead",19698,6750,NA
"Rocky Reach",1983,"Sockeye",26079,26062,NA
"Rocky Reach",1983,"Coho",237,458,NA
"Rocky Reach",1984,"Chinook",11457,8208,10234
"Rocky Reach",1984,"Jack.Chinook",3147,2176,2881
"Rocky Reach",1984,"Steelhead",17228,8714,6731
"Rocky Reach",1984,"Sockeye",73290,31384,25673
"Rocky Reach",1984,"Coho",923,598,630
"Rocky Reach",1985,"Chinook",16836,9519,10816
"Rocky Reach",1985,"Jack.Chinook",3993,2468,2987
"Rocky Reach",1985,"Steelhead",22690,12156,7704
"Rocky Reach",1985,"Sockeye",54077,35331,27888
"Rocky Reach",1985,"Coho",584,574,625
"Rocky Reach",1986,"Chinook",12896,10271,11008
"Rocky Reach",1986,"Jack.Chinook",2455,2742,2929
"Rocky Reach",1986,"Steelhead",30386,17096,8837
"Rocky Reach",1986,"Sockeye",65816,41166,30389
"Rocky Reach",1986,"Coho",456,559,605
"Rocky Reach",1987,"Chinook",13927,12031,10758
"Rocky Reach",1987,"Jack.Chinook",1804,2497,2512
"Rocky Reach",1987,"Steelhead",7172,17578,8807
"Rocky Reach",1987,"Sockeye",41115,48903,31857
"Rocky Reach",1987,"Coho",927,558,605
"Rocky Reach",1988,"Chinook",11511,13187,10391
"Rocky Reach",1988,"Jack.Chinook",1749,2498,2361
"Rocky Reach",1988,"Steelhead",5678,13706,9619
"Rocky Reach",1988,"Sockeye",34089,51594,36670
"Rocky Reach",1988,"Coho",306,587,519
"Rocky Reach",1989,"Chinook",12258,13366,10474
"Rocky Reach",1989,"Jack.Chinook",837,1917,2042
"Rocky Reach",1989,"Steelhead",6119,11143,9854
"Rocky Reach",1989,"Sockeye",16175,38138,34597
"Rocky Reach",1989,"Coho",150,408,494
"Rocky Reach",1990,"Chinook",7907,11491,10459
"Rocky Reach",1990,"Jack.Chinook",1144,1493,1919
"Rocky Reach",1990,"Steelhead",5014,8239,10008
"Rocky Reach",1990,"Sockeye",9296,26817,30781
"Rocky Reach",1990,"Coho",62,261,387
"Rocky Reach",1991,"Chinook",5553,9709,9986
"Rocky Reach",1991,"Jack.Chinook",1124,1277,1871
"Rocky Reach",1991,"Steelhead",7732,6266,10350
"Rocky Reach",1991,"Sockeye",27440,22513,30443
"Rocky Reach",1991,"Coho",38,159,298
"Rocky Reach",1992,"Chinook",6230,8266,9972
"Rocky Reach",1992,"Jack.Chinook",2153,1323,1818
"Rocky Reach",1992,"Steelhead",7516,6325,10544
"Rocky Reach",1992,"Sockeye",41804,22588,33236
"Rocky Reach",1992,"Coho",74,96,231
"Rocky Reach",1993,"Chinook",10791,8160,10373
"Rocky Reach",1993,"Jack.Chinook",503,1031,1605
"Rocky Reach",1993,"Steelhead",2816,5497,8680
"Rocky Reach",1993,"Sockeye",28319,21765,33511
"Rocky Reach",1993,"Coho",4,40,154
"Rocky Reach",1994,"Chinook",10572,7922,10290
"Rocky Reach",1994,"Jack.Chinook",1445,1150,1485
"Rocky Reach",1994,"Steelhead",2823,4709,7244
"Rocky Reach",1994,"Sockeye",1662,13808,22948
"Rocky Reach",1994,"Coho",3,18,87
"Rocky Reach",1995,"Chinook",8388,8016,9598
"Rocky Reach",1995,"Jack.Chinook",1226,1166,1319
"Rocky Reach",1995,"Steelhead",1758,3819,5609
"Rocky Reach",1995,"Sockeye",4988,12191,18081
"Rocky Reach",1996,"Chinook",9003,8830,9259
"Rocky Reach",1996,"Jack.Chinook",809,1092,1181
"Rocky Reach",1996,"Steelhead",5783,3603,4752
"Rocky Reach",1996,"Sockeye",21741,11637,16186
"Rocky Reach",1997,"Chinook",9818,9671,8941
"Rocky Reach",1997,"Jack.Chinook",1455,1010,1156
"Rocky Reach",1997,"Steelhead",6538,3504,4708
"Rocky Reach",1997,"Sockeye",30661,10937,15718
"Rocky Reach",1998,"Chinook",10252,9572,8838
"Rocky Reach",1998,"Jack.Chinook",785,1104,1067
"Rocky Reach",1998,"Steelhead",4466,3843,4596
"Rocky Reach",1998,"Sockeye",5988,8016,13208
"Rocky Reach",1999,"Chinook",17369,10571,9151
"Rocky Reach",1999,"Jack.Chinook",5434,1438,1286
"Rocky Reach",1999,"Steelhead",4814,4276,4487
"Rocky Reach",1999,"Wild.Steelhead",679,NA,NA
"Rocky Reach",1999,"Sockeye",14111,12295,13029
"Rocky Reach",1999,"Coho",23,NA,NA
"Rocky Reach",2000,"Chinook",25659,13220,10295
"Rocky Reach",2000,"Jack.Chinook",5952,1973,1517
"Rocky Reach",2000,"Steelhead",8266,5827,4717
"Rocky Reach",2000,"Wild.Steelhead",2471,NA,NA
"Rocky Reach",2000,"Sockeye",57428,20043,15632
"Rocky Reach",2000,"Coho",547,NA,NA
"Rocky Reach",2000,"Lamprey",767,NA,NA
"Rocky Reach",2001,"Chinook",62837,19499,13121
"Rocky Reach",2001,"Jack.Chinook",10034,3264,1888
"Rocky Reach",2001,"Steelhead",22001,7612,5237
"Rocky Reach",2001,"Wild.Steelhead",10663,NA,NA
"Rocky Reach",2001,"Sockeye",66220,25044,17071
"Rocky Reach",2001,"Coho",1629,NA,NA
"Rocky Reach",2001,"Lamprey",805,NA,NA
"Rocky Reach",2002,"Chinook",94475,30667,17221
"Rocky Reach",2002,"Jack.Chinook",4274,4049,2022
"Rocky Reach",2002,"Steelhead",11870,8577,5482
"Rocky Reach",2002,"Wild.Steelhead",4844,3051,NA
"Rocky Reach",2002,"Sockeye",12373,20887,15114
"Rocky Reach",2002,"Coho",484,316,NA
"Rocky Reach",2002,"Lamprey",1842,NA,NA
"Rocky Reach",2003,"Chinook",78367,46061,20998
"Rocky Reach",2003,"Jack.Chinook",9357,6647,2708
"Rocky Reach",2003,"Steelhead",13584,10714,6416
"Rocky Reach",2003,"Wild.Steelhead",4911,3356,NA
"Rocky Reach",2003,"Sockeye",30355,28898,15220
"Rocky Reach",2003,"Coho",965,395,NA
"Rocky Reach",2003,"Lamprey",2521,1301,NA
"Rocky Reach",2004,"Chinook",55214,58048,24772
"Rocky Reach",2004,"Jack.Chinook",10324,7558,3297
"Rocky Reach",2004,"Steelhead",14580,13372,7561
"Rocky Reach",2004,"Wild.Steelhead",9366,5672,NA
"Rocky Reach",2004,"Sockeye",81338,41023,22458
"Rocky Reach",2004,"Coho",786,800,NA
"Rocky Reach",2004,"Lamprey",1043,1245,NA
"Rocky Reach",2005,"Chinook",52777,67055,29774
"Rocky Reach",2005,"Jack.Chinook",3287,6711,3639
"Rocky Reach",2005,"Steelhead",9710,13810,8971
"Rocky Reach",2005,"Wild.Steelhead",4251,6322,NA
"Rocky Reach",2005,"Sockeye",55570,40754,28580
