Common Population Name,NMFS_POPID,NWR Population Name,Recovery Domain,Major Population Group,ESU,Species,Run,Start Year,End Year,Year,Spawners,FracWild,Age 1 Returns,Age 2 Returns,Age 3 Returns,Age 4 Returns,Age 5 Returns,Age 6 Returns,Age 7 Returns,Natural Spawners inc Jacks,Total Spawners inc. Jacks,Total Spawners exc. Jacks,Jack frac of hatchery spawners,Adult Natural Harvest Rates,Natural Origin Brood Stk,Contact Agency
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2014,52989,0.25,0,0.22,0.26,0.47,0.05,0,0,-99,52989,-99,-99,0.476,1030,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2013,51239,0.40,0,0.25,0.59,0.16,0.01,0,0,-99,51239,-99,-99,0.476,698,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2012,30363,0.37,0,0.27,0.57,0.12,0.04,0,0,-99,30363,-99,-99,0.498,1482,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2011,23580,0.34,0,0.37,0.21,0.39,0.03,0,0,-99,23580,-99,-99,0.454,706,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2010,39764,0.19,0,0.16,0.57,0.22,0.05,0,0,-99,39764,-99,-99,0.439,647,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2009,20685,0.21,0,0.21,0.30,0.39,0.10,0,0,-99,20685,-99,-99,0.52,703,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2008,11925,0.25,0,0.18,0.27,0.41,0.14,0.01,0,-99,11925,-99,-99,0.454,934,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2007,8354,0.34,0,0.13,0.34,0.37,0.16,0,0,-99,8354,-99,-99,0.417,926,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2006,6485,0.61,0,0.22,0.24,0.39,0.15,0,0,-99,6485,-99,-99,0.517,684,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2005,9924,0.46,0,0.14,0.41,0.37,0.09,0,0,-99,9924,-99,-99,0.543,593,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2004,15610,0.39,0,0.11,0.11,0.32,0.29,0.07,0,-99,15610,-99,-99,0.471,1129,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2003,12429,0.28,0,0,0.19,0.65,0.16,0,0,-99,12429,-99,-99,0.44,401,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2002,9347,0.23,0,0.15,0.32,0.38,0.14,0.01,0,-99,9347,-99,-99,0.471,0,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2001,9545,0.54,0,0,0.24,0.50,0.26,0.01,0,-99,9545,-99,-99,0.38,0,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,2000,2558,0.45,0,0,0.42,0.38,0.20,0,0,-99,2558,-99,-99,0.46,0,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,1999,1795,0.50,0,0,0.08,0.55,0.37,0.01,0,-99,1795,-99,-99,0.487,0,N/A
Snake River Lower Mainstem,56,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,Interior Columbia,Snake River,"Salmon, Chinook (Snake River fall-run ESU)", ,Fall-run,1975,2014,1998,916,0.33,0,0.15,0.32,0.38,0.14,0.01,0,-99,916,-99,-99,0.416,0,N/A
